bodymass,fawns
21.7,1.85
23.4,1.33
23.4,1.61
22.9,1.95
23.4,2.13
23.1,2.53
24.1,3.45
24.5,2.71
24.3,2.53
24.5,2.39
24.5,2.37
24.7,1.82
25.1,1.44
26.3,1.34
26.4,1.48
25.9,1.73
25.2,1.89
25.2,1.93
25,2.03
25.2,2.06
25.4,2
25.4,1.98
25.7,1.96
25.9,1.93
26.1,1.98
26,2.07
25.4,2.21
25.1,2.2
25.1,2.24
25.1,2.38
25,2.41
25.2,2.55
25.5,2.58
26,3.25
26.7,2.87
26.1,2.62
26.8,2.56
27,2.42
25.9,2.3
26.3,2.11
26.8,2.14
26.9,2.06
26.4,1.95
27,1.67
27.7,1.18
27.8,1.29
28.9,1.06
28.7,1.26
30.2,1.21
29.7,1.5
28.4,1.5
27.9,1.56
27.5,1.61
27.8,1.73
28.2,1.7
28.4,1.8
28.1,1.8
27.8,1.87
27.4,1.9
27.5,2.03
27.9,2.07
28,2.09
27.9,2.25
28.1,2.28
28.3,2.31
27.3,2.26
27.6,2.34
27.6,2.38
28.3,2.37
28.3,2.46
28,2.53
27.3,2.61
27.6,2.7
27.5,2.71
27,2.8
27.1,2.98
28,2.95
28.1,2.98
28.3,2.69
28.5,2.66
28.7,2.44
28.4,2.22
28.5,2.12
28.6,1.94
28.8,1.96
29.1,1.83
29.3,1.86
29.3,1.89
29.1,1.92
29.7,1.8
29.9,1.77
30,1.85
29.8,1.88
29.6,1.89
29.5,1.94
29.9,2.04
30.1,1.99
30.1,2.06
30.5,2.02
30.7,1.94
30.9,1.89
31.3,1.97
32.4,1.94
32.4,1.75
32.5,1.64
33.1,1.79
34.7,1.51
33.6,2.28
31.9,2.26
31.4,2.18
30.9,2.24
30.7,2.21
29.1,2.18
29.1,2.21
28.9,2.27
29.1,2.36
29.1,2.38
29,2.42
29.3,2.46
29.5,2.39
30.4,2.31
30.4,2.42
30.9,2.34
31.1,2.34
31.1,2.41
31.8,2.43
31.6,2.56
30.9,2.68
30.7,2.68
30.5,2.59
30.2,2.56
30.1,2.58
29.2,2.56
29.2,2.68
29.1,2.73
29,2.84
29,3.04
29.1,3.19
29.4,2.84
29.6,2.8
29.8,2.69
30,2.76
29.7,2.91
29.9,2.95
30.1,3.42
33.6,3.03
