season,decade,temp,days
1955,1950,22.94,87
1956,1950,23.02,137
1957,1950,25.68,106
1958,1950,19.96,97
1959,1950,24.8,105
1960,1960,23.98,118
1961,1960,22.1,118
1962,1960,20.3,136
1963,1960,24.2,91
1964,1960,NA,NA
1965,1960,NA,NA
1966,1960,22.74,107
1967,1960,24.16,96
1968,1960,24.94,114
1969,1960,22.4,125
1970,1970,22.14,115
1971,1970,20.84,118
1972,1970,25.66,82
1973,1970,21.73,115
1974,1970,24.49,97
1975,1970,24.13,104
1976,1970,22.17,146
1977,1970,21.73,126
1978,1970,20.41,141
1979,1970,24.41,111
1980,1980,23.95,123
1981,1980,20.95,118
1982,1980,26.71,83
1983,1980,22.81,48
1984,1980,23.11,118
1985,1980,23.33,116
1986,1980,28.83,81
1987,1980,23.11,116
1988,1980,21.47,123
1989,1980,23.97,112
1990,1990,24.75,99
1991,1990,23.61,102
1992,1990,23.08,118
1993,1990,21.24,63
1994,1990,26.63,62
1995,1990,NA,NA
1996,1990,23.88,132
