restrictor,damaged
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
without,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
with,yes
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
without,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
with,no
