sttype,tslf,tdw,litdep,fuel1h,tltd
d,0-100,27.7,0.62,0.06,2382
d,0-100,22.6,1.33,0.07,1978
d,0-100,26.2,1.46,0.08,1234
d,0-100,43.6,1.92,0.05,1478
d,0-100,27,2.9,0.06,1901
d,100-200,41.2,2.13,0.15,1111
d,100-200,46.6,2.33,0.02,748
d,0-100,27.6,1.46,0.04,1055
d,0-100,89.2,2.25,0.04,3422
d,100-200,39.6,3.08,0.3,1045
d,0-100,17.8,2.07,0.1,2823
d,100-200,29.8,1.83,0.1,1205
d,100-200,65.4,2.63,0.19,712
d,100-200,61,2.58,0.23,825
d,100-200,82.6,2.38,0.31,1800
d,100-200,57,2.75,0.15,1430
d,100-200,51.1,2.92,0.03,1702
d,100-200,51.9,2.46,0.08,2168
d,100-200,64.9,1.96,0.2,753
d,100-200,31.4,1.63,0.06,632
d,100-200,67.9,2.13,0.31,878
d,100-200,68.1,2.71,0.33,1646
d,0-100,111.5,3.08,0.08,2309
d,100-200,36.1,2.42,0.02,861
md,100-200,26,1.75,0.07,1581
md,0-100,70,2.75,0.17,1139
md,100-200,24.1,2,0.1,1265
md,0-100,35.4,1.25,0.09,1072
md,200-300,46.4,2.38,0.68,1002
md,100-200,56.8,2.08,0.12,1160
md,100-200,42.4,3.13,0.17,627
md,200-300,54.9,2.38,0.47,673
md,200-300,70.5,3,0.15,444
md,200-300,108.3,2.29,0.16,1084
md,200-300,41.1,1.9,0.04,570
md,200-300,44.5,2.71,0.31,906
md,100-200,95.6,1.83,0.24,1057
mc,200-300,103.4,2.04,0.05,775
mc,100-200,69.8,2.9,0.31,1065
mc,200-300,47.2,3.13,0.37,820
mc,100-200,35.6,2,0.03,1650
c,200-300,42,2.08,0.22,578
c,200-300,46.9,2.92,0.56,999
c,200-300,34.9,0.75,0.16,961
c,200-300,26.8,1.75,0.67,437
c,200-300,52.2,2.08,0.12,1136
c,200-300,48,2.38,0.55,1288
c,200-300,44.7,2.13,0.45,1086
