years,breed,group
2016,German Shepherd Dog,Shepherd
2015,Old English Sheepdog,Old English Sheepdog
2014,Cardigan Welsh Corgi,Corgi
2013,Old English Sheepdog,Old English Sheepdog
2012,German Shepherd Dog,Shepherd
2011,Bearded Collie,Collie
2010,Puli,Puli
2009,Puli,Puli
2008,Australian Shepherd,Shepherd
2007,Bouviers des Flandres,Bouvier Des Flandres
2006,Old English Sheepdog,Old English Sheepdog
2005,Border Collie,Collie
2004,Welsh Corgi (Pembroke),Corgi
2003,German Shepherd Dog,Shepherd
2002,Welsh Corgi (Pembroke),Corgi
2001,Welsh Corgi (Pembroke),Corgi
2000,Welsh Corgi (Pembroke),Corgi
1999,German Shepherd,Shepherd
1998,Old English Sheepdog,Old English Sheepdog
1997,Shetland Sheepdog,Shetland Sheepdog
1996,Bearded Collie,Collie
1995,Bouvier Des Flandres,Bouvier Des Flandres
1994,German Shepherd Dog,Shepherd
1993,German Shepherd Dog,Shepherd
1992,Bouvier Des Flandres,Bouvier Des Flandres
1991,Old English Sheepdog,Old English Sheepdog
1990,Shetland Sheepdog,Shetland Sheepdog
1989,Puli,Puli
1988,Shetland Sheepdog,Shetland Sheepdog
1987,German Shepherd Dog,Shepherd
1986,German Shepherd Dog,Shepherd
1985,Shetland Sheepdog,Shetland Sheepdog
1984,German Shepherd Dog,Shepherd
1983,Belgian Tervuren,Belgian Tervuren
