Year,Temp,CO2,SolarIrradiance
1979,8,336.67,1366.43
1980,19,338.57,1366.51
1981,26,339.92,1366.51
1982,4,341.30,1366.16
1983,25,342.71,1366.18
1984,9,344.24,1365.71
1985,4,345.81,1365.57
1986,12,347.11,1365.59
1987,27,348.72,1365.67
1988,31,351.04,1365.97
1989,19,352.68,1366.46
1990,36,353.97,1366.42
1991,35,355.37,1366.34
1992,13,356.18,1366.17
1993,13,356.69,1365.86
1994,23,358.14,1365.69
1995,37,360.02,1365.58
1996,29,361.95,1365.50
1997,39,363.18,1365.65
1998,56,365.19,1365.98
1999,31,367.86,1366.18
2000,33,368.83,1366.41
2001,47,370.43,1366.33
2002,56,372.01,1366.39
2003,55,374.45,1365.92
2004,48,376.77,1365.70
2005,63,378.30,1365.51
2006,55,380.83,1365.44
2007,58,382.56,1365.32
2008,44,384.39,1365.27
2009,57,386.34,1365.25
2010,63,388.13,1365.46
