gpa,class.type
2.98,math
2.08,math
2.56,math
2.23,math
2.16,math
2.3,math
2.45,math
2.11,math
2.43,math
2.22,math
2.08,math
2.18,math
2.38,math
2.32,math
2.3,math
1.9,math
2.95,math
2.52,math
3.02,math
2.25,math
2.05,math
2.3,math
2.7,other
2.15,other
2.01,other
2.63,other
2.27,other
2.46,other
2.32,other
2.51,other
2.72,other
2.95,other
2.5,other
2.62,other
2.13,other
2.6,other
2.58,other
2.61,other
1.96,other
2.64,other
2.54,other
2.53,other
2.6,other
2.61,other
2.41,other
2.77,other
2.62,other
2.44,other
2.91,other
2.49,other
2.45,other
